No ,Sunda,Indonesia
1,Angel ,Bantal
2,Ayeuna,sekarang
3,Angger,Tetap
4,Anggo,Pakai
5,Anggoan,Pakaian
6,Aang,Kakak
7,Angkat,Pergi
8,Abah,Bapak
9,Angkeng,Pinggang
10,Abdi ,Saya
11,Abot,Berat
12,Angkeut,Dagu
13,Acan,Belum
14,Anjeun, Kamu
15,Adat,Tabiat
16,Anjeunna,Dia
17,Adeuk,Akan
18,Anom,Muda
19,Adi,Adik
20,Antawis,Antara
21,Adigung,Angkuh
22,Anteur,Antar
23,Adil,Adil
24,Agan,Tuan
25,Antukna,Akhirnya
26,Ageung,Besar
27,Anu/nu,Yang
28,Agul,Sombong
29,Anyar,Baru
30,Aheng,Aneh 
31,Aos,Baca
32,Aing ,Saya
33,Apa,Bapak
34,Ajag,Srigala
35,Apal,Hafal
36,Ajeng,Mengajukan
37,Api-api,Pura-pura
38,Ngajleng,Lompat
39,Aprak,Jelajah
40,Apu,Batu Kapur
41,Akang,Kakak
42,Arek ,Akan
43,Akar,Akar
44,Areung,Arang
45,Aki,Kakek
46,Arit,Celurit
47,Aksara,Tulisan 
48,Artos,Uang
49,Ali,Cincin
50,Asa,Sepertinya
51,Alim,Tidak Mau
52,Asak, Matang
53,Alit,Kecil
54,Asin,Asin
55,Almenak,Almanak
56,Astana,Pekuburan
57,Alo,Keponakan
58,Astra,Wajah
59,Alung,Lempar
60,Asup,Masuk
61,"Alus, Sae",Bagus
62,Atah,Mentah
63,Amang ,Paman
64,Atanapi,Atau
65,Amarah,Emosi
66,Ambeh,Agar
67,Ateul,Gatal
68,Ambek,Marah
69,Atik,Didik 
70,Ambekan,Hawa Nafsu
71,Atikan,Ajaran
72,Ambeu,Mencium Bau
73,Atoh,Senang
74,Ambu,Ibu
75,Atos,Sudah
76,Ameng,Bermain
77,Atra / Jatra,Jelas
78,Amis,Manis
79,Awak,tubuh
80,Ampar,Tilam
81,Awang-awang,Angkasa
82,Ampir,Hampir 
83,Awewe,Perempuan 
84,Anak,Anak
85,Awi,Bambu
86,Ancin,Sedikit Makan
87,Awis,Mahal
88,Anclub,Turun ke air
89,Awon,Jelek
90,Ancur,Hancur
91,Aya,Ada
92,Andiprek,Lesesan
93,Ayak,Saring
94,Anduk,Handuk
95,Ayakan,Saringan
96,Bau,Bau
97,Bawa,Bawa
98,Bayah,Paru-paru
99,Bayawak,Biawak
100,Bayeungyang,Gerah
101,Bayuhyuh     ,gemuk
102,beak,habis
103,beusi,besi
104,beuteung,perut
105,bewara,berita
106,biang,ibu
107,biantara,pidato
108,bieu,barusan
109,bikang,betina
110,butuh,perlu
111,butut,jelek
112,buruy,anak katak
113,babar,lahir
114,babaturan,teman
115,badag,besar
116,bade,akan
117,bagean,bagian
118,bagel,keras
119,bagja,bahagia
120,bagong,babi hutan
121,baham,mulut
122,baheum,kulum
123,bahe,tumpah
124,baheula,dahulu
125,bajing,tupai
126,bakal,akan
127,balad,teman
128,balang,lempar
129,balangsat,melarat
130,balangsat,miskin
131,baledog,lempar
132,baleg,dewasa
133,baleuy,tidak terlalu panas
134,balik,pulang
135,balong,kolam
136,balung,tulang
137,bancet,anak katak
138,banga,ribet
139,bangir,mancung
140,bangkawarah,kurang ajar
141,bangke,bangkai
142,bangkong ,katak
143,bangkuang ,bengkuang
144,bango,bangau
145,bantos,bantu
146,bantun,bawa
147,baraya ,saudara
148,bared,tergores
149,bareuh,bengkak
150,bari,basi
151,barusuh,sariawan
152,basa,bahasa
153,basa ,ketika
154,basa,saat
155,baseuh,basah
156,basisir,pesisir
157,bati,laba
158,batur,orang lain
159,bilatung,belatung
160,binangkit,kreatif
161,bingah,gembira
162,bingah,geraham
163,bingung,kalut
164,bireuk,tidak kenal
165,bisluit,surat keputusan
166,bitis,betis
167,bitu,meledak
168,biwir,bibir
169,bobo,tidur
170,bobo,lapuk
171,boboko,bakul
172,bobos,kentut
173,bobotoh,pendukung
174,bodas,putih
175,beha,bra
176,beas,beras
177,bebene,kekasih
178,bedegong,bandel
179,bedil,senjata laras panjang
180,bedog,golok
181,begal,perampok
182,begang,kurus
183,beja,kabar
184,beja,berita
185,beke,pendek
186,bekong,mug besar
187,belegug,bodoh
188,belegug,tolol
189,belejog,tipu
190,belenyeh,tertawa kecil
191,belesek,amblas
192,belet,bodoh
193,bencong,waria
194,boga,punya
195,bendu,marah
196,bojo,isteri
197,bener,benar
198,boloho,bodoh
199,bodor,lawak
200,bengkok,lengkung
201,bolokot,kotor oleh lumpur
202,bengkung,bongkok
203,bongoh,lengah
204,bosen,bosan
205,bentang,bintang
206,buah,mangga
207,budah,buih
208,bentar,petir
209,budak,anak
210,benten,beda
211,bueuk,burung hantu
212,bere,memberi
213,bujal,pusar
214,berehan,sopan
215,bujangan,jajaka
216,beberesih,bersih
217,bujur,pantat
218,beresin,bersin
219,buk-bak,obrak-abrik
220,berkat,bingkisan
221,buktos,bukti
222,beuheung,leher
223,buku,buku
224,beulah,belah
225,bulan,bulan
226,beuleum,bakar
227,bulao,biru
228,beuli,beli
229,buleud,bulat
230,beulit,lilit
231,bumi,rumah
232,beungeut,wajah
233,bungah,gembira
234,beunghar,kaya
235,buni,tersembunyi
236,beungkeut,ikat
237,buntut,ekor
238,beurang,siang
239,bureuteu,gendut
240,beurat,berat
241,buru,cepat
242,beureum,merah
243,buruan,halaman rumah
244,beurit,tikus
245,buruh,upah
246,Caah,Banjir
247,Caang,Terang
248,Cabak,Raba
249,Cabok,Tampar
250,Cacag,Cingcang
251,Cadu,Tidak Pernah
252,Cagak,Cabang
253,Cageur,Sehat
254,Cai,Air
255,Cakcak,Cecak
256,Caket,Dekat
257,Calacah,Abu Rokok
258,Calakan,Rajin
259,Calana,Celana
260,Caletot,Tertipu
261,Calik,Duduk
262,Candak,Ambil
263,Cangcang,Ikat
264,Cangkeng,Pinggang
265,cangkurileung,burung
266,cape,lelah
267,capit,jepit
268,caram,larang
269,carang,jarang
270,carek,larang
271,careham,geraham
272,careuh,musang
273,caringin,beringin
274,carios,cerita
275,carita,kisah
276,caroge,suami
277,carpon,cerita pendek
278,cawet,celana dalam
279,cekap,beunghar
280,ceker,kaki unggas
281,cempor,lampu minyak
282,cenang,bisul
283,cengek,cabai rawit
284,cengkat,bangun
285,centang,sentil
286,cepil,telinga
287,cerewed,cerewet
288,ceundeum,mendung
289,ceuk,kata
290,ceumpal,lap
291,ceurik,menangis
292,ciak,anak ayam
293,ciduh,ludah
294,cikur,kencur
295,cilaka,celaka
296,cileuh,kotoran mata
297,cingceng,gesit
298,cingcin,cincin
299,cingir,kelingking
300,cingogo,jongkok
301,cipruk,basah
302,ciri,tanda
303,citak,cetak
304,ciwit,cubit
305,cobi,coba
306,coet,cobek
307,cokor,kaki(binatang)
308,cokot,ambil
309,colok,jotos
310,comel,banyak omong
311,comot,mengambil sedikit
312,congcorang,belalang sembah
313,coplok,lepas
314,cucuk,duri
315,cucunguk,kecoa
316,cukang,jembatan
317,cunihin,genit 
318,cureuleuk,jeli
319,curuk,jari telunjuk
320,dangdos,rias
321,danget,saat
322,dangu,dengar
323,darehdeh,ramah
324,datang,sampai
325,dayeuh,kota
326,deet,dangkal
327,denge,dengar
328,deudeuh,sayang
329,deui,lagi
330,deukeut,dekat
331,deuleu,lihat
332,deungeuna,lauk pauk
333,dewek,saya
334,diajar,belajar
335,digjaya,sakti
336,dina,di
337,dines,dinas
338,diuk,duduk
339,doja,ganggu
340,domba,biri-biri
341,dongkap,tiba
342,du'a,do'a
343,dudukuy,topi
344,dugi,tiba
345,duit,uang
346,duka,tidak tahu
347,dulur,saudara
348,dumasar,berdasarkan
349,dunungan,majikan
350,dunya,dunia
351,dupak,senggol
352,duriat,perasaan cinta
353,duruk,bakar
354,dadali,burung garuda
355,daek,mau
356,dago,tunggu
357,dahar,makan
358,dahuan,kakak ipar
359,dalapan,delapan
360,damang ,sehat
361,damar,lampu 
362,damel,kerja
363,damis,pipi
364,dampal,telapak
365,endah,indah
366,endeur,bergetar
367,endog,telur
368,enggal,cepat
369,enggeus,sudah
370,engke,nanti
371,enjing,besok
372,enjing,pagi
373,enjing-enjing,pagi-pagi
374,entog,bebek
375,entong,jangan
376,enya ,iya
377,era,malu
378,etang,hitung
379,etangan,hitungan
380,eueut,minum
381,eujeung,dengan
382,euleum,cukup
383,eunteung,cermin
384,euntreup,hinggap
385,eurad,jerat
386,eureun,berhenti
387,eusi,isi
388,eces,jelas
389,ekek,burung betet
390,eleh,kalah
391,eleketek,gelitik
392,elmu,ilmu
393,embe,kambing
394,embung,tidak mau
395,empang,kolam
396,emut,ingat
397,gabrug,terkam
398,gado,dagu
399,gaduh,punya
400,gajih,lemak
401,galengan,pematang sawah
402,galeuh,beli
403,galing,ikal
404,galumbira,bergembira
405,galungan,gumul
406,galur,jalan
407,gampang,mudah
408,gampil,mudah
409,gampleng,tampar
410,gancang,cepat
411,gandeng,berisik
412,gantar,galah
413,gapura,gerbang
414,garing,kering
415,garo,garuk
416,garong,pencuri
417,garwa,istri
418,gawe,kerja
419,gawir,jurang
420,gayor,sangga
421,gayot,gantung
422,gede,besar
423,gedong,gedung
424,gegel,gigit
425,geheng,hangus
426,gehgeran,latah
427,geleng,gilas
428,geleng,lindas
429,gelo,gilas
430,gelut,berkelahi
431,gembul,lahap
432,genep,enam
433,gentos,ganti
434,gepok,tumpuk
435,gering,sakit
436,gero,panggil
437,getek,geli
438,geter,getar
439,getih,darah
440,getok,jitak
441,getol,rajin
442,geugeut,sayang
443,geulang,gelang
444,geuleuh,jijik
445,geulis,jelita
446,geumpeur,gugup
447,geuneuk,lebam
448,geunjleung,tersiar
449,geutah,getah
450,gigir,samping
451,gimir,jerih
452,girimis,gerimis
453,gitek,goyang
454,giwang,anting
455,gogog,anjing
456,gohgoy,batuk
457,goreng,jelek
458,gorobag,gerobak
459,gugah,bangun tidur
460,gugunungan,bukit
461,gugusi,gusi
462,guguyon,humor
463,guha,goa
464,gula,gula
465,guludug,guntur
466,gumbira,gembira
467,gumilang,gemilang
468,gumujeng,ketawa
469,gundam,gigau
470,gurilap,gemerlap
471,halabhab,haus
472,halimpu,merdu
473,halimun,kabut
474,halis,alis
475,halodo,musim kering
476,hambar,tawar
477,hampang ,ringan
478,hitam,hideung
479,hieum,rindang
480,hiji,satu
481,hilap,lupa
482,hileud,ulat
483,hilik,awas
484,hilir,ilir
485,hipu,lunak
486,hampas,ampas
487,hamperu,empedu
488,hampura,maaf
489,hanaang,haus
490,handap,bawah
491,haneut,hangat
492,hanjakal,menyayangkan
493,hanjelu,sesal
494,hanyir,bau amis
495,hapa,hampa
496,hapunteun,mohon maaf
497,harangasu,jelaga
498,haratis,gratis
499,harep,harap
500,hareudang,gerah
501,hareup,depan
502,harewos,bisik
503,hariring,dendang
504,hariwang,cemas
505,harkat,martabat
506,harti,arti
507,haseum,asam
508,haseup,asap
509,haur,bambu
510,haweuk,loba
511,hayam,ayam
512,hayang,mau
513,hayu,ayo
514,hees,tidur
515,hejo,hijau
516,hemeng,heran
517,henteu,tidak akan
518,herang,bening
519,hese,susah
520,heueuh,iya
521,heubeul,dahulu
522,heulang,elang
523,heuleut,saat
524,heureut,menyempit
525,heureuy,becanda
526,hideng,rajin
527,hirup,hidup
528,hitut,kentut
529,honcewang,bimbang
530,hoream ,malas
531,hoyong,ingin
532,huut,gabah
533,hudang,bangun tidur
534,huis,uban
535,hujan,hujan
536,hulu,kepala
537,huma,ladang
538,huntu,gigi
539,hurang,udang
540,hurung,nyala
541,hutang,utang
542,hyang,dewa
543,Ibak,Mandi
544,Iber,Kabar
545,Ibing,Menari
546,Ibu,Ibu
547,Ibun,Embun
548,Ical,Jual
549,Ical,Hilang
550,Icip,Cicip
551,Idek,Didekatkan
552,Ieu,Ini
553,Iga,Rusuk
554,Igel,Menari
555,Ijid,Jijik
556,Ilahar,Normal
557,Imah,Rumah
558,Imbit,Pantat
559,Impleng,Membayangkan
